code,description
40/41 - Vorderingen op ten hoogste één jaar,40/41 - Vorderingen op ten hoogste één jaar
10/49 - TOTAAL VAN DE PASSIVA,10/49 - TOTAAL VAN DE PASSIVA
640/8 - Andere bedrijfskosten,640/8 - Andere bedrijfskosten
694/7 - Uit te keren winst,694/7 - Uit te keren winst
75 - Recurrente financiële opbrengsten,75 - Recurrente financiële opbrengsten
75/76B - Financiële opbrengsten,75/76B - Financiële opbrengsten
67/77 - Belastingen op het resultaat,67/77 - Belastingen op het resultaat
10/15 - EIGEN VERMOGEN,10/15 - EIGEN VERMOGEN
10/11 - Inbreng,10/11 - Inbreng
694 - Vergoeding van de inbreng,694 - Vergoeding van de inbreng
20/58 - TOTAAL VAN DE ACTIVA,20/58 - TOTAAL VAN DE ACTIVA
17/49 - SCHULDEN,17/49 - SCHULDEN
42/48 - Schulden op ten hoogste één jaar,42/48 - Schulden op ten hoogste één jaar
9905 - Te bestemmen winst (verlies) van het boekjaar,9905 - Te bestemmen winst (verlies) van het boekjaar
9906 - Te bestemmen winst (verlies),9906 - Te bestemmen winst (verlies)
9904 - Winst (Verlies) van het boekjaar,9904 - Winst (Verlies) van het boekjaar
9901 - Bedrijfswinst (Bedrijfsverlies),9901 - Bedrijfswinst (Bedrijfsverlies)
17 - Schulden op meer dan één jaar,17 - Schulden op meer dan één jaar
54/58 - Liquide middelen,54/58 - Liquide middelen
791/2 - Onttrekking aan het eigen vermogen,791/2 - Onttrekking aan het eigen vermogen
65/66B - Financiële kosten,65/66B - Financiële kosten
10 - Kapitaal,10 - Kapitaal
13 - Reserves,13 - Reserves
29/58 - VLOTTENDE ACTIVA,29/58 - VLOTTENDE ACTIVA
9903 - Winst (Verlies) van het boekjaar vóór belasting,9903 - Winst (Verlies) van het boekjaar vóór belasting
9900 - Brutomarge,9900 - Brutomarge
691/2 - Toevoeging aan het eigen vermogen,691/2 - Toevoeging aan het eigen vermogen
71 - Voorraad goederen in bewerking en gereed product en bestellingen in uitvoering: toename (afname),71 - Voorraad goederen in bewerking en gereed product en bestellingen in uitvoering: toename (afname)
70 - Omzet,70 - Omzet
70/76A - Bedrijfsopbrengsten,70/76A - Bedrijfsopbrengsten
74 - Andere bedrijfsopbrengsten,74 - Andere bedrijfsopbrengsten
76 - Niet-recurrente opbrengsten,76 - Niet-recurrente opbrengsten
72 - Geproduceerde vaste activa,72 - Geproduceerde vaste activa
66A - Niet-recurrente bedrijfskosten,66A - Niet-recurrente bedrijfskosten
61 - Diensten en diverse goederen,61 - Diensten en diverse goederen
649 - Als herstructureringskosten geactiveerde bedrijfskosten,649 - Als herstructureringskosten geactiveerde bedrijfskosten
695 - Bestuurders of zaakvoerders,695 - Bestuurders of zaakvoerders
21 - Immateriële vaste activa,21 - Immateriële vaste activa
11 - Buiten kapitaal,11 - Buiten kapitaal
794 - Tussenkomst van de vennoten in het verlies,794 - Tussenkomst van de vennoten in het verlies
60/66A - Bedrijfskosten,60/66A - Bedrijfskosten
"60/61 - Handelsgoederen, grond- en hulpstoffen, diensten en diverse goederen","60/61 - Handelsgoederen, grond- en hulpstoffen, diensten en diverse goederen"
12 - Herwaarderingsmeerwaarden,12 - Herwaarderingsmeerwaarden
19 - Voorschot aan de vennoten op de verdeling van het netto-actief,19 - Voorschot aan de vennoten op de verdeling van het netto-actief
696 - Werknemers,696 - Werknemers
"60 - Handelsgoederen, grond- en hulpstoffen","60 - Handelsgoederen, grond- en hulpstoffen"
"62 - Bezoldigingen, sociale lasten en pensioenen","62 - Bezoldigingen, sociale lasten en pensioenen"
635/8 - Voorzieningen voor risico's en kosten: toevoegingen (bestedingen en terugnemingen),635/8 - Voorzieningen voor risico's en kosten: toevoegingen (bestedingen en terugnemingen)
15 - Kapitaalsubsidies,15 - Kapitaalsubsidies
"630 - Afschrijvingen en waardeverminderingen op oprichtingskosten, op immateriële en materiële vaste activa","630 - Afschrijvingen en waardeverminderingen op oprichtingskosten, op immateriële en materiële vaste activa"
14 - Overgedragen winst (verlies),14 - Overgedragen winst (verlies)
22/27 - Materiële vaste activa,22/27 - Materiële vaste activa
21/28 - VASTE ACTIVA,21/28 - VASTE ACTIVA
28 - Financiële vaste activa,28 - Financiële vaste activa
492/3 - Overlopende rekeningen,492/3 - Overlopende rekeningen
76A - Waarvan: niet-recurrente bedrijfsopbrengsten,76A - Waarvan: niet-recurrente bedrijfsopbrengsten
3 - Voorraden en bestellingen in uitvoering,3 - Voorraden en bestellingen in uitvoering
490/1 - Overlopende rekeningen,490/1 - Overlopende rekeningen
16 - VOORZIENINGEN EN UITGESTELDE BELASTINGEN,16 - VOORZIENINGEN EN UITGESTELDE BELASTINGEN
780 - Onttrekking aan de uitgestelde belastingen,780 - Onttrekking aan de uitgestelde belastingen
789 - Onttrekking aan de belastingvrije reserves,789 - Onttrekking aan de belastingvrije reserves
50/53 - Geldbeleggingen,50/53 - Geldbeleggingen
680 - Overboeking naar de uitgestelde belastingen,680 - Overboeking naar de uitgestelde belastingen
689 - Overboeking naar de belastingvrije reserves,689 - Overboeking naar de belastingvrije reserves
"631/4 - Waardeverminderingen op voorraden, op bestellingen in uitvoering en op handelsvorderingen: toevoegingen (terugnemingen)","631/4 - Waardeverminderingen op voorraden, op bestellingen in uitvoering en op handelsvorderingen: toevoegingen (terugnemingen)"
29 - Vorderingen op meer dan één jaar,29 - Vorderingen op meer dan één jaar
697 - Andere rechthebbenden,697 - Andere rechthebbenden
